,rating
799,6
800,6
801,8
802,7
803,6
804,8
805,6
806,5
807,7
808,6
809,6
810,6
811,5
812,6
813,6
814,7
815,6
816,6
817,7
818,7
819,5
820,7
821,6
822,8
823,7
824,7
825,6
826,7
827,5
828,7
829,6
830,7
831,7
832,8
833,6
834,8
835,6
836,5
837,8
838,6
839,6
840,6
841,7
842,7
843,7
844,6
845,7
846,6
847,8
848,6
849,6
850,6
851,7
852,7
853,6
854,8
855,6
856,7
857,6
858,7
859,7
860,7
861,7
862,6
863,7
864,8
865,6
866,8
867,7
868,7
869,7
870,6
871,6
872,6
873,7
874,6
875,6
876,6
877,5
878,7
879,7
880,6
881,6
882,6
883,6
884,7
885,7
886,5
887,7
888,6
889,7
890,7
891,6
892,6
893,6
894,7
895,7
896,7
897,7
898,5
899,7
900,6
901,7
902,7
903,7
904,8
905,6
906,7
907,5
908,6
909,7
910,7
911,7
912,7
913,6
914,7
915,7
916,5
917,7
918,6
919,6
920,7
921,7
922,5
923,7
924,6
925,6
926,7
927,7
928,8
929,6
930,8
931,7
932,7
933,5
934,6
935,5
936,6
937,7
938,7
939,7
940,7
941,5
942,5
943,7
944,7
945,7
946,6
947,6
948,6
949,5
950,6
951,7
952,8
953,7
954,6
955,7
956,7
957,8
958,6
959,6
960,6
961,6
962,7
963,6
964,7
965,7
966,7
967,6
968,6
969,8
970,7
971,7
972,5
973,6
974,6
975,6
976,7
977,7
978,7
979,6
980,6
981,7
982,7
983,7
984,7
985,7
986,7
987,7
988,7
989,7
990,6
991,6
992,6
993,6
994,5
995,7
996,6
997,6
998,7
999,7
1000,7
1001,6
1002,7
1003,6
1004,7
1005,8
1006,7
1007,5
1008,7
1009,6
1010,6
1011,6
1012,6
1013,6
1014,6
1015,6
1016,6
1017,6
1018,4
1019,7
1020,7
1021,7
1022,5
1023,7
1024,7
1025,6
1026,6
1027,8
1028,7
1029,7
1030,6
1031,7
1032,6
1033,7
1034,6
1035,6
1036,6
1037,7
1038,7
1039,6
1040,6
1041,6
1042,7
1043,6
1044,7
1045,7
1046,6
1047,7
1048,7
1049,6
1050,6
1051,6
1052,6
1053,6
1054,6
1055,6
1056,6
1057,6
1058,6
1059,6
1060,6
1061,6
1062,6
1063,7
1064,6
1065,7
1066,7
1067,6
1068,7
1069,6
1070,7
1071,7
1072,6
1073,6
1074,6
1075,7
1076,7
1077,7
1078,6
1079,7
1080,6
1081,6
1082,6
1083,8
1084,6
1085,6
1086,6
1087,7
1088,6
1089,7
1090,8
1091,6
1092,6
1093,7
1094,6
1095,5
1096,5
1097,5
1098,6
1099,6
1100,7
1101,7
1102,6
1103,8
1104,4
1105,7
1106,7
1107,7
1108,7
1109,7
1110,5
1111,6
1112,7
1113,6
1114,6
1115,7
1116,6
1117,7
1118,6
1119,6
1120,5
1121,7
1122,7
1123,7
1124,7
1125,5
1126,7
1127,6
1128,5
1129,5
1130,7
1131,7
1132,7
1133,7
1134,6
1135,7
1136,7
1137,6
1138,6
1139,6
1140,6
1141,7
1142,7
1143,6
1144,6
1145,7
1146,6
1147,8
1148,5
1149,8
1150,7
1151,7
1152,6
1153,6
1154,8
1155,7
1156,7
1157,6
1158,8
1159,7
1160,6
1161,6
1162,6
1163,7
1164,7
1165,6
1166,6
1167,8
1168,8
1169,7
1170,6
1171,5
1172,7
1173,6
1174,7
1175,7
1176,5
1177,7
1178,6
1179,5
1180,7
1181,6
1182,5
1183,7
1184,7
1185,6
1186,6
1187,6
1188,7
1189,7
1190,4
1191,6
1192,6
1193,8
1194,6
1195,6
1196,8
1197,5
1198,6
1199,6
1200,5
1201,6
1202,7
1203,5
1204,5
1205,8
1206,6
1207,7
1208,5
1209,6
1210,6
1211,7
1212,5
1213,7
1214,8
1215,7
1216,7
1217,5
1218,6
1219,6
1220,6
1221,6
1222,6
1223,6
1224,7
1225,6
1226,6
1227,8
1228,6
1229,8
1230,7
1231,7
1232,7
1233,7
1234,7
1235,6
1236,6
1237,6
1238,7
1239,5
1240,6
1241,7
1242,6
1243,7
1244,6
1245,7
1246,7
1247,7
1248,7
1249,5
1250,6
1251,6
1252,7
1253,6
1254,7
1255,6
1256,6
1257,6
1258,5
1259,6
1260,7
1261,5
1262,7
1263,6
1264,6
1265,8
1266,8
1267,5
1268,7
1269,7
1270,6
1271,7
1272,7
1273,6
1274,5
1275,5
1276,7
1277,8
1278,6
